Statue of Liberty,40.689209,-74.044457,"Iconic National Monument opened in 1886, offering guided tours, a museum & city views."
Times Square,40.758936,-73.985119,"Bustling destination in the heart of the Theater District known for bright lights, shopping & shows."
Central Park,40.782857,-73.965355,"Sprawling park with pedestrian paths & ballfields, plus a zoo, carousel, boat rentals & a reservoir."
Brooklyn Bridge,40.706005,-73.996875,"Beloved, circa-1883 landmark connecting Manhattan & Brooklyn via a unique stone-&-steel design."
Empire State Building,40.748432,-73.985664,"Iconic, art deco office tower from 1931 with exhibits & observatories on the 86th & 102nd floors."
Rockefeller Center,40.758732,-73.978674,"Famous complex that's home to TV studios, plus a seasonal ice rink & giant Christmas tree."
The Metropolitan Museum of Art,40.779428,-73.963223,"A grand setting for one of the world's greatest collections of art, from ancient to contemporary."
Chrysler Building,40.751621,-73.975502,"Shimmering art deco skyscraper from 1930 whose spire once made it the world's tallest building."
American Museum of Natural History,40.781243,-73.973988,"The American Museum of Natural History, located on the Upper West Side of Manhattan, New York City, is one of the largest museums in the world."
New York Public Library,40.753150,-73.982243,"The New York Public Library is a public library system in New York City. With nearly 53 million items, the New York Public Library is the second largest public library in the United States, and fourth largest in the world."
Solomon R. Guggenheim Museum,40.782988,-73.958949,"Frank Lloyd Wrightâ€“designed modern-art museum with an architecturally significant spiral rotunda."
Wall Street,40.706185,-74.009150,"Wall Street is an eight-block-long street running roughly northwest to southeast from Broadway to South Street, at the East River, in the Financial District of Lower Manhattan in New York City."